error_type	sentence	model prediction	generated sentences	generated sentences evaluation				
G_Art	Da due anni che sto imparando inglese .	wrong	Da due anni sto imparando inglese .	partially -		104	172	36
			Da due anni ho imparato inglese .	divergent		12		
			Da due anni sto imparando l'inglese .	fully		20		
			Da due anni imparo inglese .	divergent		10		
G_Art	Dopo 15 ottobre sono costretta di andare dalla mia sorella Maria ( Maria è malata ) .	wrong	Dopo 15 ottobre sono costretta a andare dalla mia sorella Maria (Maria è malata).	partially -		19		
			Dopo 15 ottobre sono costretta di andare dalla mia sorella (Maria è malata).	divergent		7		
			Dopo 15 ottobre sono costretta dal andare dalla mia sorella Maria (Maria è malata).	divergent				
			Dopo 15 ottobre sono costretta a andare da mia sorella Maria (Maria è malata).	partially +				
			Dopo 15 ottobre sono costretta a andare dalla sorella Maria (Maria è malata).	partially -				
G_Art	Mia figlia ha comminciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	wrong	Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	no modification				
			Mia figlia ha cominciato a giocare al tennis e adesso lui andiamo a giocare insieme ogni lunedì .	divergent				
			Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme un lunedì .	divergent				
			Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	no modification				
			Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	no modification				
G_Art	perchè non parli un po' di matrimonio quando telefoni con me ?	grammatical	perché non parli un po' di matrimonio quando telefoni con me	introducing error				
			perché non parli un po' di matrimonio quando chiami con me	divergent				
			perché non parli un po' di matrimonio quando parli con me	divergent				
			perché non parli un po' di matrimonio quando mi telefoni	partially +				
			perché non parli un po' di matrimonio quando mi chiami	divergent				
G_Art	Mio suocero ha una casa in quale siamo stati per una settimana .	wrong	Mio suocero ha una casa dove siamo stati per una settimana .	fully				
			Mio suocero ha una casa in cui siamo stati per una settimana .	fully				
			Mio suocero ha una casa a cui siamo stati per una settimana .	divergent				
			Mio suocero ha una casa nella quale siamo stati per una settimana .	fully				
			Mio suocero ha una casa dove siamo rimasti per una settimana .	divergent				
G_Art	E come stanno tua sorella e tuoi genitori ?	wrong	E come stanno tua sorella e i tuoi genitori ?	fully				
			E come stanno tua sorella e tuoi genitori?	no modification				
			E come stanno tua sorella e i tuoi genitori	fully				
			E come sta tua sorella e tuoi genitori?	divergent				
			E come stanno tua sorella e tuoi genitori?	no modification				
G_Art	Ancora volta mi dispiace , ma non è mia colpa , Mio capo ha organizzato una runione giovedi pomeriggio e per questo dobbiamo cambiare nostro appuntamento .	wrong	Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiare nostro appuntamento.	no modification				
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiare l'appuntamento.	divergent				
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo modificare nostro appuntamento.	divergent				
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo modificare l'appuntamento.	divergent				
G_Art	Anch' io ho appena fatto un esame il giovedi scorso .	wrong	Anch'io ho appena fatto un esame il giovedì scorso .	partially -				
			Anch'io ho appena fatto un esame lo scorso giovedì .	fully				
			Anch'io ho appena fatto un esame il giovedì scorsa .	partially -				
			Anch'io ho appena fatto un esame il giorno scorso .	divergent				
			Anch'io ho appena fatto un esame ieri .	divergent				
G_Art	Se accettassi , dovrei registare i fogli di ufficio , come no .	wrong	Se accettassi, dovrei registrare i fogli di ufficio, come no.	no modification				
			Se accettassi, dovrei registra i fogli di ufficio, come no.	divergent				
			Se accettassi, dovrei registare i fogli di ufficio come no.	divergent				
			Se accettassi, dovrei registrare i fogli di ufficio come non.	divergent				
			Se accettassi, dovrei registrare i fogli di ufficio come no .	divergent				
G_Art	Participerò volentieri a tutti i due eventi e sono molto contento di essere invitato .	wrong	Parteciperò volentieri a tutti e due gli eventi e sono molto contento di essere stato invitato .	fully				
			Parteciperò volentieri ai due eventi e sono molto contento di essere stato invitato .	partially -				
			Parteciperò volentieri a entrambi i eventi e sono molto contento di essere stato invitato .	divergent				
			Parteciperò volentieri ai due eventi e sono molto contento di questa invitation .	divergent				
			Parteciperò volentieri a tutti e due gli eventi e sono molto contento di questa invitation .	partially -				
G_Art	Qualce volta , vado in calcio .	wrong	Qualche volta, vado in calcio .	partially -				
G_Art	Nostre insegnante e bella ragazza .	wrong	Nostre insegnanti sono belle ragazze .	partially -				
			Nostre insegnante è bella ragazza.	partially -				
			Nostre insegnante è una bella ragazza.	partially +				
			Nostre insegnanti sono belle ragazze.	partially -				
			Nostre insegnante è bella.	divergent				
G_Art	Tutto sommato , sono felice di studiare lingue straniere e me le aiutano molto .	grammatical	Tutto sommato, sono felice di studiare lingue straniere e mi le aiutano molto .	divergent				
			Tutto sommato, sono felice di studiare lingue straniere e le aiutano molto .	divergent				
			Tutto sommato, sono felice di studiare lingue straniere e mi le aiutano .	divergent				
			Tutto sommato, sono felice di studiare lingue straniere e me ne aiutano molto .	divergent				
G_Art	Hai voglia di incontro sabato sera ?	wrong	Hai voglia di incontrare sabato sera?	divergent				
			Hai voglia di un incontro sabato sera?	fully				
			Hai voglia di incontrarsi sabato sera?	fully				
			Hai voglia di fare un incontro sabato sera?	divergent				
			Hai voglia di vedersi sabato sera?	divergent				
G_Art	Oppure potresti fare una formazione in un albergo .	wrong	Oppure potresti fare una formazione in un hotel .	divergent				
			Oppure potresti fare una formazione in un albergo differente.	divergent				
			Oppure potresti fare una formazione in un albergo per un periodo diverso.	divergent				
			Oppure potresti fare una formazione in un altro albergo.	divergent				
G_Art	In mio tempo libero sto facendo un corso di tennis , che mi piace molto .	wrong	In mio tempo libero sto facendo un corso di tennis che mi piace molto.	partially -				
			In mio tempo libero faccio un corso di tennis che mi piace molto.	divergent				
			In mio tempo libero sto facendo un corso di tennis, ma mi piace molto.	divergent				
			In mio tempo libero sto facendo un corso di tennis, che mi piacciono molto.	divergent				
			In mio tempo libero sto facendo un corso di tennis, che mi piace molto..	no modification				
G_Art	Ho cominciato a studiare l' inglese molto presto , quando andavo al asilo e continuavo anche dopo , fino a quando avevo la possibilità di andare all' estero , in Inghilterra per due mesi .	wrong	Ho cominciato a studiare l'inglese molto presto quando andavo all'asilo e continuavo anche dopo fino a quando avevo la possibilità di andare all'estero in Inghilterra per due mesi	partially +				
			Ho cominciato a studiare l'inglese molto presto quando andavo al asilo e continuavo anche dopo fino a quando avevo la possibilità di andare all'estero in Inghilterra per due mesi	introducing error				
			Ho cominciato a studiare l'inglese molto presto quando andavo all'asilo e continuavo anche dopo fino a quando avevo la possibilità di andare all'estero in Inghilterra per due mesi	partially +				
			Ho cominciato a studiare l'inglese molto presto quando andavo all'asilo e continuavo anche dopo fino a quando avevo la possibilità di andare all'estero in Inghilterra per due mesi	partially +				
G_Art	È stata una esperienza straordinaria di attraversare gli Alpi .	wrong	È stata una esperienza straordinaria attraversare gli Alpi .	partially -				
			È stata una esperienza straordinaria per attraversare gli Alpi .	divergent				
			È stata una esperienza straordinaria durante l'attraversamento degli Alpi .	divergent				
			È stata una esperienza straordinaria l'attraversamento degli Alpi .	divergent				
			È stata una esperienza straordinaria di attraversare gli Alpi .	divergent				
G_Art	Puoi fare il shopping o andare in piscina o andare in cinema .	wrong	Puoi fare il shopping o andare in piscina o vedere un film .	divergent				
			Puoi fare il shopping o andare in piscina o andare al cinema .	no modification				
			Puoi fare il shopping o andare a piscina o andare in cinema .	divergent				
			Puoi fare il shopping o andare in piscine o andare in cinema .	divergent				
			Puoi fare il shopping o andare in piscina o andare in cinema .	divergent				
G_Art	Ci vediamo prossima settimana .	wrong	Ci vediamo la prossima settimana.	fully				
			Ci vediamo la prossima settimana .	fully				
			Ci vediamo la prossima settimanà.	divergent				
			Ci vediamo alla prossima settimana.	divergent				
			Ci vediamo la prossima setimana .	fully				
G_Art	Ho letto che a scuola organizza un corso speciale con un programma di Natale .	wrong	Ho letto che a scuola organizza un corso speciale con un programma natale .	introducing error				
			Ho letto che a scuola organizza un corso di Natale .	divergent				
			Ho letto che a scuola organizza un corso con un programma natalizio .	divergent				
			Ho letto che a scuola organizza un corso con un programma di Natale .	divergent				
G_Art	La sera vado al concerto della cantanta famosa che si chiama Cecilia Bartoli .	grammatical	La sera vado al concerto della cantante famosa che si chiama Cecilia Bartoli .	fully				
			La sera vado al concerto della cantata famosa che si chiama Cecilia Bartoli .	divergent				
			La sera vado al concerto della cantante famosa che chiamasi Cecilia Bartoli .	divergent				
			La sera vado al concerto della cantante famosa che si chiama Cecilia Bartoli.	fully				
			La sera vado al concerto della cantante famosa che si chiama Cecilia Bartoli.	fully				
G_Art	Posso ricevere una camera all' hotel del mio fratello e voi due potete passare le vacanze romantico a Città X se volete !	wrong	Posso ricevere una camera all'hotel del mio fratello e voi due potete passare le vacanze romantiche a Città X se volete !	no modification				
			Posso ricevere una camera all'hotel del mio fratello e voi due potete passare le vacanze romanzate a Città X se volete !	divergent				
			Posso ricevere una camera all'hotel del mio fratello e voi due potete passare le vacanze romantiche in Città X se volete !	divergent				
			Posso ricevere una camera all'hotel del mio fratello e voi due potete passare le vacanze romantico in Città X se volete !	divergent				
			Posso ricevere una camera all'hotel del mio fratello e voi due potete passare le vacanze a Città X romantiche se volete !	divergent				
G_Art	VISITA AL CITTA , Monumento X Monumento Y , CITTA BELLISSIMO .	grammatical	VISITA AL CITTÀ , MONUMENTO X MONUMENTO Y , CITTÀ BELLISSIMA .	partially -				
			VISITA A CITTÀ , MONUMENTO X MONUMENTO Y , CITTÀ BELLISSIMA .	partially -				
			VISITA IN CITTÀ , MONUMENTO X MONUMENTO Y , CITTÀ BELLISSIMA .	divergent				
			VISITA A CITTÀ , MONUMENTI X MONUMENTO Y , CITTÀ BELLISSIMA .	divergent				
			VISITA A CITTÀ , MONUMENTO X MONUMENTI Y , CITTÀ BELLISSIMA .	divergent				
G_Art	Ho domande : Quando euro dell' aloggio per una sera ?	wrong	Ho domande : Quando euro per l'abbiamaggio per una sera ?	divergent				
			Ho domande : Quando euro per l'alloggio per una sera ?	divergent				
			Ho domande : Quando euro dell'alloggio per una sera ?	divergent				
			Ho domande : Quand'euro dell'alloggio per una sera ?	divergent				
			Ho domande : Quando euro dell'alloggio per la sera ?	divergent				
G_Art	Sono stata impiegata in GAL ( Gruppo Azzione Locale ) quindi lo so come importante è il sviluppo , anche presso l' universita sto studiando politico di sviluppo reggionale .	wrong	Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università sto studiando politica di sviluppo reggionale .	partially -				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università sto studiando sviluppo reggionale .	divergent				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università sto di sviluppo reggionale .	divergent				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università studiando politica di sviluppo reggionale .	partially -				
			Sono stata impiegata in GAL (Gruppo AzioneLocale) quindi lo so come importante è il sviluppo anche presso l'università sto studiando politica di sviluppo regionale .	partially -				
G_Art	Inoltre , come brasiliana e sapendo che il progetto aiuta a finanziare grupi con scopo di sviluppamento in America latina , mi sento ancora più felice e soddisfata di poter partecipare .	grammatical	Inoltre, come brasiliana e sapendo che il progetto aiuta a finanziare grupi con scopo di sviluppamento in America Latina, mi sento ancora più felice e soddisfatta di poter partecipare.	no modification				
			Inoltre, come brasiliana e sapendo che il progetto aiuta a finanziare grupi con lo scopo di sviluppamento in America Latina, mi sento ancora più felice e soddisfatta di poter partecipare.	partially +				
			Inoltre, come brasiliana e sapendo che il progetto contribuisce a finanziare gruppi con scopo di sviluppamento in America Latina, mi sento ancora più felice e soddisfatta di poter partecipare.	partially -				
			Inoltre, come brasiliana e sapendo che il progetto aiuta a finanziare grupi con finalità di sviluppamento in America Latina, mi sento ancora più felice e soddisfatta di poter partecipare.	divergent				
			Inoltre, come brasiliana e sapendo che il progetto contribuisce a finanziare gruppi con scopo di sviluppo in America Latina, mi sento ancora più felice e soddisfatta di poter partecipare.	divergent				
G_Art	Quando hai il tempo per la mia visita ?	wrong	Quando hai il tempo per la mia visita?	no modification				
			Quando hai tempo per la mia visita?	fully				
			Quando hai il tempo per visitarmi?	divergent				
			Quando hai tempo per visitarmi?	divergent				
			Quando hai il tempo per venire a trovarmi?	divergent				
			Quando hai tempo per venire a trovarmi?	divergent				
G_Art	Conosco un veramente buonissimo !	plausible	Conosco un buonissimo!	divergent				
			Conosco un veramente buono!	divergent				
			Conosco un veramente buonissimo.	divergent				
			Conosco un molto buonissimo!	divergent				
			Conosco un davvero buonissimo!	divergent				
G_Art	E se hai usato Facebook per fare le conoscenze , poi provare anche Google + .	wrong	E se hai usato Facebook per fare conoscenze, poi provare anche Google+.	partially +				
			E se hai usato Facebook per fare le conoscenze, poi provare anche Google.	divergent				
			E se hai usato Facebook per fare le conoscenze, poi provare Google+.	divergent				
			E se hai usato Facebook per fare le conoscenze, poi prova anche Google+.	divergent				
			E se hai usato Facebook per fare le conoscenze, poi provare anche Google.	divergent				
G_Art	Credo qualcosa per noi gardino vi preferite forse nuove sedie e un nuovo tavolo ?	wrong	Credo qualcosa per noi, guardino vi preferite forse nuove sedie e un nuovo tavolo ?	divergent				
			Credo qualcosa per noi guardino voi preferite forse nuove sedie e un nuovo tavolo ?	divergent				
			Credo qualcosa per noi guardino vi preferite forse nuove sedie e un nuovo tavolo ?	divergent				
			Credo qualcosa per noi guardino vi preferite forse una nuova sedia e un nuovo tavolo ?	divergent				
			Credo qualcosa per noi, guardino vi preferite forse una nuova sedia e un nuovo tavolo ?	divergent				
G_Art	Quanto costa il questo viaggio ?	plausible	Quanto costa questo viaggio ?	fully				
			Quanto costa il viaggio ?	fully				
			Quanto costa questo?	divergent				
			Quanto questo viaggio costa ?	divergent				
			Quanto il viaggio costa ?	divergent				
G_Art	Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratticamente ai abitanti di America latina e per formare la mia personalità , per conoscere altre paese , altre culture .	wrong	Vorrei offrire il mio aiuto per aiutare al Vostro Instituto praticamente agli abitanti di America Latina e per formare la mia personalità per conoscere altre paesi altre culture	introducing error				
			Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , praticamente agli abitanti di America Latina , e per formare la mia personalità , per conoscere altre paesi , altre culture	introducing error				
			Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratica mente ai abitanti di America Latina e per formare la mia personalità , per conoscere altre paesi , altre culture	divergent				
			Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , praticamente ai abitanti di America Latina e per formare la mia personalità , per conoscere altre paese , altre cultura	introducing error				
			Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratica mente ai abitanti di America Latina e per formare la mia personalità , per conoscere altre paesi , altre culture	divergent				
			Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , praticamente agli abitanti di America Latina e per formare la mia personalità , per conoscere altre paesi , altre culture	introducing error				
G_Art	Penso che la societa sia formata così , anch' io avevo quel pensiero ma quando sono andato in viaggio in Africa , mi sono riso conto che siamo privilegiati , tutti noi che viviamo in uno stato senza dittatura e dove esiste una copertura malattia sociale .	grammatical	Penso che la società sia formata così, anch'io avevo quel pensiero ma quando sono andato in viaggio in Africa, mi sono reso conto che siamo privilegiati, tutti noi che viviamo in uno stato senza dittatura e dove esiste una copertura malattia sociale.	fully				
			Penso che la società sia formata così, anch'io avevo quel pensiero ma quando sono andato in viaggio in Africa, mi sono riso della situazione perché siamo privilegiati, tutti noi che viviamo in uno stato senza dittatura e dove esiste una copertura malattia sociale.	divergent				
			Penso che la società sia formata così, anch'io avevo quel pensiero ma quando sono andato in viaggio in Africa, mi sono riso della situazione perché siamo privilegiati, tutti noi che viviamo in uno stato senza dittatura e dove esiste una copertura sanitaria.	divergent				
			Penso che la società sia formata così, anch'io avevo quel pensiero ma quando sono andato in viaggio in Africa, mi sono riso di questa situazione perché siamo privilegiati, tutti noi che viviamo in uno stato senza dittatura e dove esiste una copertura sanitaria.	divergent				
			Penso che la società sia formata così, anch'io avevo quel pensiero ma quando sono andato in viaggio in Africa, mi sono riso della situazione perché siamo privilegiati, tutti noi che viviamo in uno stato senza dittatura.	divergent				
G_Art	La sera io posso andare al un concerto con la mia padre o andare in un ristorante con la mia famiglia .	plausible	La sera io posso andare a un concerto con la mia madre o andare in un ristorante con la mia famiglia .	divergent				
			La sera io posso andare al concerto con la mia sorella o andare in un ristorante con la mia famiglia .	divergent				
			La sera io posso andare al concerto con il mio amico o andare in un ristorante con la mia famiglia .	divergent				
			La sera io posso andare a un concerto con la mia moglie o andare in un ristorante con la mia famiglia .	divergent				
			La sera io posso andare a un concerto con il mio cugino o andare in un ristorante con la mia famiglia .	divergent				
G_Art	Vorrei partecipare in primo ciclo di serate ( quello di maggio ) , ma devo chiederVi le informazioni più dettagliate sul calendario degli incontri .	wrong	Vorrei partecipare al primo ciclo di serate (quello di maggio), ma devo chiederLe le informazioni più dettagliate sul calendario degli incontri .	partially +				
			Vorrei partecipare in primo ciclo di serate (quello di maggio), ma devo chiedere loro le informazioni più dettagliate sul calendario degli incontri .	divergent				
			Vorrei partecipare in primo ciclo di serate (quello di maggio), ma devo chiederLe le informazioni più dettagliate sul calendario dei incontri .	divergent				
			Vorrei partecipare al primo ciclo di serate (quello di maggio), ma devo chiedere Le informazioni più dettagliate sul calendario degli incontri .	partially +				
			Vorrei partecipare in primo ciclo di serate (quello di maggio), ma devo chiederLe le informazioni dettagliate sul calendario degli incontri .	divergent				
G_Agr	Se avete altri cosi che vi faccio piacere potete dirmi .	wrong	Se avete altri cosi che vi piace potete dirmi .	divergent		30	43	9
			Se avete cose altre che vi piacciono potete dirmi .	partially +		3		
			Se avete cose altre che vi piacciano potete dirmi .	divergent		0		
			Se avete cose altre che vi facciano piacere potete dirmi .	divergent		10		
			Se avete cose altre che mi piace potete dirmi .	divergent		0		
G_Agr	Secondo me i tuoi amici perdonano e non ti chiedono più perchè non ti faccio più sentire .	wrong	Secondo me i tuoi amici perdonano e non ti chiedono più perché non ti faccio più sentire .	no modification		0		
			Secondo me i tuoi amici perdonano e non ti chiedono più il motivo per cui non ti faccio più sentire .	divergent				
			Secondo me i tuoi amici perdonano e non ti chiedono più il motivo per cui non ti faccio più sentirvi .	divergent				
			Secondo me i tuoi amici perdonano e non ti chiedono più il motivo per cui non ti faccio più sentirti .	divergent				
			Secondo me i tuoi amici perdonano e non ti chiedono più il motivo per cui non ti faccio più sentire .	divergent				
G_Agr	Anche io ho una notizia a darvi , sono fidanzata di un ragazzo gentili e mi piacerebbe molto andare al vostro matrimonio con lui così potresti conoscerlo .	grammatical	Anche io ho una notizia a darvi, sono fidanzata con un ragazzo gentile e mi piacerebbe molto andare al vostro matrimonio con lui così potresti conoscerlo .	partially +				
			Anche io ho una notizia a darvi, sono fidanzata di un ragazzo gentile e mi piacerebbe molto andare al vostro matrimonio con lui e così potresti conoscerlo .	partially +				
			Anche io ho una notizia a darvi, sono fidanzata con un ragazzo gentile e mi piacerebbe molto andare al vostro matrimonio con lui e così potresti conoscerlo .	partially +				
			Anche io ho una notizia a darvi, sono fidanzata con un ragazzo gentile e mi piacerebbe molto andare al vostro matrimonio con lui e potresti così conoscerlo .	partially +				
			Anche io ho una notizia a darvi, sono fidanzata con un ragazzo gentile e mi piacerebbe molto andare al vostro matrimonio con lui e così potresti conoscerlo .	partially +				
G_Agr	Mi immaginerei un corso in un gruppo nuomente piccolo - 4 persone al massimo - se questo non è possibile prenderai dei lezioni individuali .	grammatical	Mi immaginerei un corso in un gruppo nuovamente piccolo - 4 persone al massimo - se questo non è possibile prenderai delle lezioni individuali .	partially +				
			Mi immaginerei un corso in un gruppo nuovamente piccolo - 4 persone al massimo - se questo non è possibile prenderai dei lezioni individuali .	divergent				
			Mi immaginerei un corso in un gruppo nuovamente piccolo - 4 persone al massimo - se questo non è possibile prenderesti delle lezioni individuali .	partially +				
			Mi immaginerei un corso in un gruppo nuovamente piccolo - 4 persone al massimo - se questo non è possibile prenderesti dei lezioni individuali .	divergent				
G_Agr	Invece , l' inglese , che lo aveva usato prima moltissimo quando lavorava , solo l' uso quando stiamo con gli amici stranieri che non parlano italiano .	wrong	Invece, l'inglese, che lo aveva usato molto prima quando lavorava, lo usiamo solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, l'uso solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, lo uso solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, lo uso soltanto quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, solo l'uso quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
G_Agr	Probabilmente arrivò il 18 novembre e resterò fino al 22 novembre .	wrong	Probabilmente arrivò il 18 novembre e resterò fino al 22 novembre.	no modification				
			Probabilmente arriverà il 18 novembre e resterò fino al 22 novembre.	divergent				
			Probabilmente arrivò il 18 novembre e resterò fino al 23 novembre .	divergent				
			Probabilmente arrivò il 18 novembre e rimarrò fino al 22 novembre .	divergent				
			Probabilmente arrivò il 18 novembre e resterò fino al 21 novembre .	divergent				
G_Agr	Mia sorella era malata fra due giorni e poi non ha potuto andare con mio fratello in Francia per vedere i nostri parenti .	wrong	Mia sorella era malata e fra due giorni non ha potuto andare in Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata e poi fra due giorni non ha potuto andare in Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata e poi non ha potuto andare in Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata e poi non ha potuto andare con mio fratello in Francia per vedere i nostri parenti .	divergent				
			Mia sorella era malata e poi non ha potuto andare con mio fratello in Francia per vedere i nostri parenti .	divergent				
G_Agr	E quando abbiamo deciso di sposarvi ?	grammatical	E quando abbiamo deciso di sposarvi?	no modification				
			E quando abbiamo deciso di sposarli?	divergent				
			E quando abbiamo deciso di sposarveli?	divergent				
			E quando abbiamo deciso di sposare voi?	divergent				
			E quando abbiamo deciso di sposare loro?	divergent				
G_Agr	Ma tutto era al contrario come era scritta nel Suo annuncio .	wrong	Ma tutto era al contrario come era scritto nel Suo annuncio .	partially +				
			Ma tutto era al contrario come era scritto nel suo annuncio .	partially +				
			Ma tutto era contrario come era scritto nel Suo annuncio .	divergent				
			Ma tutto era contrario come era scritto nel suo annuncio .	divergent				
G_Verb	Sempre mi piaceva l' Italia e la pronuncia italiana .	grammatical	Sempre mi piaceva l'Italia e la pronuncia italiana .	no modification		74	117	25
			Sempre mi piace l'Italia e la pronuncia italiana .	divergent		10		
			Sempre mi piaceva l'Italia e la pronunzia italiana .	divergent		12		
			Sempre mi piacevo l'Italia e la pronunzia italiana .	divergent		11		
			Sempre mi piacevo l'Italia e la pronuncia italiana .	divergent		10		
G_Verb	Perché non faresti un bel viaggio per pensarci ?	wrong	Perché non fai un bel viaggio per pensarci ?	fully		0		
			Perché non faresti un bel viaggio per pensarlo ?	no modification				
			Perché non faresti un bel viaggio per pensarci?	divergent				
			Perché non faresti un bel viaggio per pensarci a lungo?	divergent				
			Perché non faresti un bel viaggio per considerarlo?	divergent				
G_Verb	Oggi scriverti per il mio viaggio di te .	wrong	Oggi scriverti per il mio viaggio .	divergent				
			Oggi scriverlo per il mio viaggio di te .	divergent				
			Oggi scrivo per il mio viaggio di te .	partially +				
			Oggi scriverti per il mio viaggio .	divergent				
G_Verb	Vi ringrazio per l' invito e mi piacere venire .	wrong	Vi ringrazio per l' invito e mi piacerebbe venire .	fully				
			Vi ringrazio per l' invito e mi piacerebbe di venire .	partially +				
			Vi ringrazio per l' invito e sarei onorato di venire .	divergent				
			Vi ringrazio per l' invito e sarei lieto di venire .	divergent				
			Vi ringrazio per l' invito e vorrei venire .	divergent				
G_Verb	Ma il nostro appartamento è stato molto vecchio e non è stato molto moderno .	wrong	Ma il nostro appartamento è stato molto vecchio e non era molto moderno.	partially +				
			Ma il nostro appartamento era stato molto vecchio e non era stato molto moderno.	divergent				
			Ma nostro appartamento è stato molto vecchio e non era molto moderno.	partially +				
			Ma il nostro appartamento era stato molto vecchio e non è stata molto moderno.	divergent				
			Ma il nostro appartamento era molto vecchio e non era molto moderno.	fully				
