error_type	sentence	model prediction	generated sentences	generated sentences evaluation				
G_Verb	Invece potrai dirmi se avete fatto una lista di nozze o qual regalo vi fará piacere .	grammatical	Invece potrai dirmi se avete fatto una lista di nozze o qual regalo vi farà piacere.	no modification				
			Invece potrai dirmi se avete fatto una lista di nozze o quale regalo vi fará piacere.	fully				
			Invece potrai dirmi se avete fatto una lista di nozze o qual regalo vi piace fare.	divergent				
			Invece potrai dirmi se avete fatto una lista di nozze o qual regalo vi piacerebbe ricevere.	divergent				
			Invece potrai dirmi se avete fatto una lista di nozze o quale regalo vi piacerebbe ricevere.	divergent				
G_Verb	Inoltre io colgo l' occasione di invitarvi per una settimana nellà piccola città se avrete un po tempo dopo di tornare dal vostro viaggio .	wrong	Inoltre io colgo l'occasione di invitarvi per una settimana nella piccola città se avrete un po' tempo dopo di tornare dal vostro viaggio.	no modification				
			Inoltre io colgo l'occasione di invitarvi per una settimana nell'piccola città se avrete un po' tempo dopo di tornare dal vostro viaggio.	divergent				
			Inoltre io colgo l'occasione di invitarvi per una settimana in una piccola città se avrete un po' tempo dopo di tornare dal vostro viaggio.	divergent				
			Inoltre io colgo l'occasione di invitarvi per una settimana nell'piccola città se avrete un po' tempo dopo il vostro viaggio.	divergent				
			Inoltre io colgo l'occasione di invitarvi per una settimana nella piccola città se avrete un po' tempo dopo il vostro viaggio.	divergent				
G_Verb	Ho cominciato a studiare l' inglese molto presto , quando andavo al asilo e continuavo anche dopo , fino a quando avevo la possibilità di andare all' estero , in Inghilterra per due mesi .	wrong	Ho cominciato a studiare l'inglese molto presto quando andavo all'asilo e continuavo anche dopo fino a quando avevo la possibilità di andare all'estero in Inghilterra per due mesi	no modification				
G_Verb	Caro Francesco , tanti auguri a te per prendere la maturità linguistica !	wrong	Caro Francesco, tanti auguri per prendere la maturità linguistica!	divergent				
			Caro Francesco, tanti auguri a te per la maturità linguistica!	divergent				
			Caro Francesco, tanti auguri per la tua maturità linguistica!	divergent				
			Tanti auguri a te per la maturità linguistica, caro Francesco!	divergent				
			Per la maturità linguistica, tanti auguri a te, caro Francesco!	divergent				
G_Verb	Fa un momento che non ti ho scritto , mi dispiace .	wrong	Fa un momento che non ti ho scritto, mi dispiace.	no modification				
			Fa un momento che non ti scrivevo, mi dispiace.	divergent				
			Fa un momento che non ti ho scritto, mi spiace.	divergent				
			Fa un momento che non ti ho scritto, mi dispiaccio.	divergent				
			Fa un momento che non ti ho scritto, mi dispiace.	no modification				
G_Verb	Che ne dici di incontrami sabato sera , pérchè ho molto tempo .	wrong	Che ne dici di incontrarmi sabato sera, perché ho molto tempo .	no modification				
			Che ne dici di incontrarmi sabato pomeriggio, perché ho molto tempo .	divergent				
			Che ne dici di incontrarmi sabato sera?	divergent				
			Che ne dici di incontrarmi sabato sera perché ho molto tempo?	divergent				
			Che ne dici di vedermi sabato sera, perché ho molto tempo .	divergent				
G_Verb	Mia sorella era malata fra due giorni e poi non ha potuto andare con mio fratello in Francia per vedere i nostri parenti .	grammatical	Mia sorella era malata fra due giorni e poi non ha potuto andare in Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata fra due giorni e poi non è stata in grado di andare in Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata fra due giorni e poi non ha potuto andare a Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata fra due giorni e poi non ha potuto viaggiare in Francia con mio fratello per vedere i nostri parenti .	divergent				
			Mia sorella era malata fra due giorni e poi non ha potuto andare in Francia con mio fratello a visitare i nostri parenti .	divergent				
G_Verb	sará meglio quando uno di voi mi chiama é parliamo di questa questione .	wrong	sarà meglio quando uno di voi mi chiama e parliamo di questa questione .	partially -				
			sarà meglio quando uno di voi mi chiama ed parliamo di questa questione .	partially -				
			sarà meglio quando uno di voi mi chiami e parliamo di questa questione .	partially +				
			sarà meglio quando uno di voi mi chiami ed parliamo di questa questione .	partially +				
			sarà meglio quando uno di voi mi chiama parliamo di questa questione .	divergent				
G_Verb	Io lo sapevo , che tu ce la fai senza problemi .	wrong	Io lo sapevo che tu ce la fai senza problemi .	partially -				
			Io lo sapevo, tu ci la fai senza problemi.	divergent				
			Io lo sapevo, tu ce la fai senzaproblemi.	divergent				
			Io lo sapevo, tu ce la fai.	divergent				
G_Verb	Secondo me è molto cattivo che tu non hai amici , ma queste notizia che cerchi è buono .	wrong	Secondo me è molto cattivo che tu non hai amici, ma queste notizie che cerchi sono buone.	partially -				
			Secondo me è molto cattivo che tu non hai amici ma queste notizie che cerchi sono buone.	partially -				
			Secondo me è molto cattivo che tu non hai amici e queste notizie che cerchi sono buone.	divergent				
			Secondo me è molto cattivo che tu non hai amici , ma queste notizie che cerchi sono positive.	divergent				
			Secondo me è molto cattivo che tu non hai amici, ma queste notizie che cerchi sono buone.	partially -				
G_Verb	In augosto faceva molto caldo , ma l' aria condizionata non ha funzionato nella nostra camera .	wrong	In agosto faceva molto caldo, ma l'aria condizionata non ha funzionato nella nostra camera.	partially -				
			In agosto faceva molto caldo, ma l'aria condizionata non funzionava nella nostra camera.	fully				
			In agosto faceva molto caldo, ma nell'aria condizionata non ha funzionato nella nostra camera.	divergent				
			In agosto faceva molto caldo, ma l'aria condizionata non funzionò nella nostra camera.	divergent				
			In agosto faceva molto caldo, ma l'aria condizionata non ha funzionato in camera nostra.	divergent				
G_Verb	Ma la prossima settimana sara al IKEA e lì trovo un regalo buono .	wrong	Ma la prossima settimana sarò al IKEA e lì trovo un regalo buono .	no modification				
			Ma la prossima settimana sarò al IKEA e lí trovo un regalo buono .	divergent				
			Ma la prossima settimana sarò al IKEA e lì trovo un regalo migliore .	divergent				
			Ma la prossima settimana sarò al IKEA e lì trovo un bel regalo .	divergent				
			Ma la prossima settimana sarò al IKEA e lí trovo un bel regalo .	divergent				
G_Verb	Pensavo che è una buona scelta per impararmi una lingua meno faticosa .	wrong	Pensavo che è una buona scelta per imparare una lingua meno faticosa .	partially -				
			Pensavo che è una buona scelta per impararmi una lingua meno faticosa .	no modification				
			Pensavo che è una buona scelta per imparare una lingua più facile .	divergent				
			Pensavo che è una buona scelta per imparare una lingua diversa .	divergent				
G_Verb	Puoi dirmi dove hai lavorato adesso ?	wrong	Puoi dirmi dove hai lavorato recently?	divergent				
			Puoi dirmi dove lavori adesso?	fully				
			Puoi dirmi dove hai lavorato di recente?	fully				
			Puoi dirmi dove sei impiegato adesso?	divergent				
			Puoi dirmi dove hai lavorato ultimamente?	fully				
G_Verb	Cosi avevamo sentito male .	grammatical	Così avevamo sentito male.	fully				
			Così avevamo sentito male.	fully				
			Così abbiamo sentito male.	fully				
			Così avevamo sentito male.	fully				
			Così avevamo sentito corretto.	divergent				
G_Verb	"Adesso Vi prego di riflettere in che modo dovete migliorare la Vostra programma nel """""""" Residence del Lago """""""" o di corretare la pubblicità che poi tutti possono vedere la realtà ."	wrong	"Adesso vi prego di riflettere in che modo dovete migliorare la vostra programma nel ""Residence del Lago"" o di corretta la pubblicità che poi tutti possano vedere la realtà ."	divergent				
			"Adesso vi prego di riflettere in che modo dovete migliorare la vostra programma nel ""Residence del Lago"" o di correggere la pubblicità che poi tutti possano vedere la realtà ."	partially +				
			"Adesso vi prego di riflettere in che modo dovete migliorare il vostro programma nel ""Residence del Lago"" o di correggere la pubblicità che poi tutti possano vedere la realtà ."	partially +				
			"Adesso vi prego di riflettere in che modo dovete migliorare la vostra programmazione nel ""Residence del Lago"" o di correggere la pubblicità che poi tutti possano vedere la realtà ."	partially +				
			Adesso vi prego di riflettere in che modo dovete migliorare la vostra programma nel Residence del Lago o di correggere la pubblicità che poi tutti possano vedere la realtà .	partially -				
G_Verb	Ti scritto qualcosa ti me .	wrong	Ti scrivo qualcosa ti me .	partially +				
			Ti scrivo qualcosa tu me .	divergent				
			Ti scrivi qualcosa ti me .	divergent				
			Ti scrivi qualcosa tu me .	divergent				
			Ti scriverai qualcosa ti me .	divergent				
G_Verb	Io vi ringrazio di avermi invitare , però non potrei venire perché devo andare in Francia per vedere la mia famiglia , che no visto di dopo le vacanzia di natal .	grammatical	Io vi ringrazio di avermi invitato, però non potrei venire perché devo andare in Francia per vedere la mia famiglia, che non ho visto dopo le vacanze di Natale.	partially -				
			Io vi ringrazio di avermi invitato, ma non posso venire perché devo andare in Francia per vedere la mia famiglia, che non ho visto dopo le vacanze di Natale.	divergent				
			Io vi ringrazio di avermi invitato, tuttavia non potrei venire perché devo andare in Francia per vedere la mia famiglia, che non ho visto dopo le vacanze di Natale.	divergent				
			Io vi ringrazio di avermi invitato, però non posso venire perché devo andare in Francia per vedere la mia famiglia, che non ho visto dopo le vacanze di Natale.	partially +				
G_Verb	Adesso non credete che è anche in questo corso !	grammatical	Adesso non credete che sia anche in questo corso!	divergent				
			Adesso non credete che è presente anche in questo corso!	divergent				
			Adesso non credete che è nel corso anche!	divergent				
			Adesso non credete che è anche in questo corso?	divergent				
			Adesso non credete che è nella formazione anche!	divergent				
G_Verb	Se si cercava un' alternativa , non si è trovata ciò che i campi da tennis sono stati in riparazione e l' animazione c' era solo una sera la settimana .	wrong	Se si cercava un'alternativa, non si è trovata. Cosa i campi da tennis sono stati in riparazione e l'animazione c'era solo una sera la settimana.	divergent				
			Se si cercava un'alternativa, non si è trovata. Ciò che i campi da tennis sono stati in riparazione e l'animazione c'era solo una sera la settimana.	divergent				
			Se si cercava un'alternativa, non si è trovata ciò che i campi da tennis sono stati in riparazione. E l'animazione c'era solo una sera la settimana.	divergent				
			Se si cercava un'alternativa, non si è trovata. Cosa i campi da tennis sono stati in riparazione e l'animazione c'era solo una sera.	divergent				
			Se si cercava un'alternativa, non si è trovata ciò che i campi da tennis sono stati in riparazione e l'animazione c'era solo una sera la settimana.	divergent				
G_Valency	Secondo me i tuoi amici perdonano e non ti chiedono più perchè non ti faccio più sentire .	wrong	Secondo me i tuoi amici perdonano e non ti chiedono più perché non ti faccio più sentire .	partially -		54	83	17
			Secondo me i tuoi amici perdonano e non ti chiedono più il motivo per cui non ti faccio più sentire .	divergent		4		
			Secondo me i tuoi amici perdonano e non ti chiedono più la ragione per cui non ti faccio più sentire .	divergent		6		
			Secondo me i tuoi amici perdonano e non ti chiedono più il motivo di non ti faccio più sentire .	divergent		8		
			Secondo me i tuoi amici perdonano e non ti chiedono più .	divergent		10		
G_Valency	Prego di rispondere sulla mia lettera il più presto possibile .	wrong	Prego di rispondere alla mia lettera il più presto possibile .	partially -		1		
			Prego di rispondere alla mia lettera quanto prima.	divergent				
			Prego di rispondere alla mia lettera al più presto.	divergent				
			Prego di rispondere alla mia lettera nel più breve tempo.	divergent				
			Prego di rispondere alla mia lettera con la massima rapidità.	divergent				
G_Valency	Città X , 24.03.12 Caro Francesco , all' inizio ringrazio per la tua lettera .	wrong	Città X , 24.03.12 Caro Francesco , all'inizio ringrazio per la tua lettera .	no modification				
			Città X , 24.03.12 Caro Francesco , all'inizio ti ringrazio per la tua lettera .	fully				
			Città X , 24.03.12 Caro Francesco , al principio ringrazio per la tua lettera .	divergent				
			Città X , 24.03.12 Caro Francesco , al principio ti ringrazio per la tua lettera .	partially +				
			Città X 24.03.12 Caro Francesco all'inizio ringrazio per la tua lettera .	divergent				
G_Valency	Purtroppo non ho niente idea di comprare .	wrong	Purtroppo non ho nessuna idea di comprare .	partially -				
			Purtroppo non ho idea di come comprare .	divergent				
			Purtroppo non ho idea di comprare .	divergent				
			Purtroppo non ho idea di comprare niente .	divergent				
			Purtroppo non ho idea di cosa comprare .	partially +				
G_Valency	Invece , l' inglese , che lo aveva usato prima moltissimo quando lavorava , solo l' uso quando stiamo con gli amici stranieri che non parlano italiano .	wrong	Invece, l'inglese, che lo aveva usato molto prima quando lavorava, lo usiamo solo quando stiamo con gli amici stranieri che non parlano italiano .	partially -				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, solo l'uso quando stiamo con gli amici stranieri che non parlano italiano .	no modification				
			Invece, l'inglese, che lo aveva usato moltissimo prima quando lavorava, lo usiamo solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, lo uso solo quando stiamo con gli amici stranieri che non parlano italiano .	partially -				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, lo usi solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
G_Valency	Gli occhi parlano molto e si danno informazioni importanti per giudicare una persona .	wrong	Gli occhi parlano molto e danno informazioni importanti per giudicare una persona .	fully				
			Gli occhi parlano molto e si danno informazioni importanti per giudicare una persona	introducing error				
			Gli occhi parlano molto e forniscono informazioni importanti per giudicare una persona	divergent				
			Gli occhi parlano molto e forniscono informazioni importanti per giudicare la persona	divergent				
			Gli occhi parlano molto e si danno informazioni importanti per giudicare la persona .	divergent				
G_Valency	Certo io posso aiutare .	grammatical	Certo io posso aiutarti .	partially +				
			Certo io posso aiutare qualcuno.	partially +				
			Certo io posso aiutare .	partially +				
			Certo posso aiutare .	partially +				
G_Valency	Non sto bene è una settimana orribile .	grammatical	Non sto bene. È una settimana orribile.	fully				
			Non sto bene, è stata una settimana orribile.	divergent				
			Non sto bene: è una settimana orribile.	fully				
			Non sono bene, è una settimana orribile.	divergent				
			Non sto bene, è una settimana orribile .	fully				
G_Valency	Sono stata impiegata in GAL ( Gruppo Azzione Locale ) quindi lo so come importante è il sviluppo , anche presso l' universita sto studiando politico di sviluppo reggionale .	wrong	Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università sto studiando politica di sviluppo reggionale .	partially -				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università sto studiando sviluppo reggionale .	divergent				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università sto di sviluppo reggionale .	divergent				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'università studio politica di sviluppo reggionale .	partially -				
			Sono stata impiegata in GAL (Gruppo Azione Locale) quindi lo so come importante è il sviluppo anche presso l'Università sto studiando politica di sviluppo regionale .	partially -				
G_Valency	Per questo grande passo vi auguro profondamente .	wrong	Per questo grande passo vi auguro profondamente .	no modification				
			Per questo grande passo vi auguro sinceramente .	divergent				
			Per questo grande passo vi auguro calorosamente .	divergent				
			Per questo grande passo vi auguro terna .	divergent				
			Per questo grande passo vi auguro .	divergent				
G_Valency	Chiamami o chiamero te al cellulare .	grammatical	Chiamami o chiamami al cellulare .	divergent				
			Chiamami o chiamerò te al cellulare .	fully				
			Chiamami o chiami me al cellulare .	divergent				
			Chiamami o chiamati al cellulare .	divergent				
			Chiamami o chiamalo al cellulare .	divergent				
G_Valency	Mi piace molto che avete deciso di sposare !	grammatical	Mi piace molto che avete deciso di sposarvi !	partially +				
			Mi piace molto che avete deciso di sposare volontariamente !	divergent				
			Mi piace molto che avete deciso di contrarmi matrimonio !	divergent				
			Mi piace molto che avete deciso di contrarre matrimonio !	divergent				
			Mi piace molto che avete deciso di sposare!	no modification				
G_Valency	Conosco un veramente buonissimo !	plausible	Conosco un buonissimo!	divergent				
			Conosco un veramente buono!	divergent				
			Conosco un buonissimo restaurant!	partially +				
			Conosco un vero e proprio buonissimo!	divergent				
			Conosco un veramente buonissimo.	divergent				
G_Valency	Quando ti vuoi inizarer il nuovo posto di lavaro ?	wrong	Quando ti voglio iniziare il nuovo posto di lavoro ?	divergent				
			Quando ti vuoi iniziare il nuovo posto di lavoro ?	partially -				
			Quando ti vuoi iniziarizzare il nuovo posto di lavoro ?	divergent				
			Quando ti vuoi iniziare il nuovo posti di lavore ?	divergent				
			Quando ti vuoi iniziare il nuovo posto di lavoro ?	divergent				
G_Valency	Sa-unreadable-ete essatamente che voi non avete ancora .	plausible	Sa uno siete esattamente che voi non avete ancora .	divergent				
			Sa un unreadable e siete esattamente che voi non avete ancora .	divergent				
			Sa un ette siete esattamente che voi non avete ancora .	divergent				
			Sa un eta siete esattamente che voi non avete ancora .	divergent				
			Sa un ete siete esattamente che voi non avete ancora .	divergent				
G_Valency	Adesso non credete che è anche in questo corso !	wrong	Adesso non credete che sia anche in questo corso!	divergent				
			Adesso non credete che è anche nel corso!	divergent				
			Adesso credete che è anche in questo corso?	divergent				
			Adesso non credevo che era anche in questo corso!	divergent				
G_Valency	Io do una mano con tuo curriculum .	grammatical	Io do una mano con il tuo curriculum .	partially -				
			Io aiuto con il tuo curriculum .	divergent				
			Io contribuisco al tuo curriculum .	divergent				
			Con il tuo curriculum io aiuto .	divergent				
			Con il tuo curriculum io contribuisco .	divergent				
G_Wo	È molto importante di avere un lavoro fisso e per trovarlo ti vorrei aiutare .	wrong	È molto importante avere un lavoro fisso e per trovarlo ti vorrei aiutare.	no modification		62	85	17
			È molto importante avere un lavoro fisso e per trovarlo mi vorresti aiutare.	divergent		11		
			È molto importante avere un lavoro fisso e per trovarlo ti vogliero' aiutare.	divergent		8		
			È molto importante avere un lavoro fisso e per trovarlo ti vorrei aiutarti.	divergent		0		
			È molto importante avere un lavoro fisso e per trovarlo ti vorrei aiutare .	divergent		4		
G_Wo	Ancora volta mi dispiace , ma non è mia colpa , Mio capo ha organizzato una runione giovedi pomeriggio e per questo dobbiamo cambiare nostro appuntamento .	wrong	Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiare nostro appuntamento.	no modification		0		
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiarlo appuntamento.	divergent				
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo devo cambiare l'appuntamento.	divergent				
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiare appuntamento.	divergent				
			Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiarne l'appuntamento.	no modification				
G_Wo	Ma non c' è così tutto che abbiamo pensato .	wrong	Ma non ce ne è così tanto che abbiamo pensato .	divergent				
			Ma non c'è così tanto che abbiamo pensato .	divergent				
			Ma non c'è così tutto che abbiamo pensato .	no modification				
			Ma non ci è così tutto che abbiamo pensato .	divergent				
			Ma non c'è così completo che abbiamo pensato .	divergent				
G_Wo	Non potrei imaginarmi di scrivere , di parlare , o anche di lottare con una persona che ho visto mai , anche se è un pensiero interessante .	wrong	Non potrei imaginarmi di scrivere, di parlare, o anche di lottare con una persona che ho visto mai, anche se è un pensiero interessante.	no modification				
			Non potrei imaginarmi di scrivere, di parlare, o anche di lottare con una persona che ho visto mai, anche se è un pensiero interessante.	no modification				
			Non potrei imaginarmi di scrivere, di parlare, o anche di lottare con una persona che ho visto mai, anche se è un pensiero interessante.	no modification				
			Non potrei imaginarmi di scrivere, di parlare, o anche di lottare con una persona che ho visto mai, anche se è un pensiero interessante.	no modification				
			Non potrei imaginarmi di scrivere, di parlare, o anche di lottare con una persona che ho visto mai, anche se è un pensiero interessante.	no modification				
G_Wo	Questo non è un bugio totalmente ma c' erano pochi collegamenti però non ho potuto andarci .	plausible	Questo non è un buglio totalmente, ma c'erano pochi collegamenti. Non ho potuto andarci.	divergent				
			Questo non è un bugio totalmente, ma c'erano pochi collegamenti. Non ce ne sono stati molti.	divergent				
			Questo non è un bugio totalmente, ma c'erano pochi collegamenti. Tuttavia non ce n'ho andato.	divergent				
			Questo non è un buglio totalmente, ma c'erano pochi collegamenti. Tuttavia non ho potuto.	divergent				
			Questo non è un bugio totalmente, ma c'erano pochi collegamenti. Ho however not been able to go there.	divergent				
			Questo non è un bugio totalmente, ma c'erano pochi collegamenti. Tuttavia non ce n'ho andato.	divergent				
G_Wo	Sempre mi piaceva l' Italia e la pronuncia italiana .	grammatical	Sempre mi piace l'Italia e la pronuncia italiana .	divergent				
			Sempre mi piaceva l'Italia e la pronunzia italiana .	divergent				
			Sempre mi piace l'Italia e la pronunzia italiana .	divergent				
			Sempre mi piace l' Italia e la pronuncia italiana .	divergent				
			Sempre mi piaceva l'Italia e la pronuncia .	divergent				
G_Wo	Sono euphorica che volete stare insieme sempre e che i genitori annunciate il matrimonio finalmente !	grammatical	Sono euforica che volete stare insieme sempre e che i genitori annuncerete il matrimonio finalmente!	partially -				
			Sono euforica che volete stare insieme sempre e i genitori annunceranno il matrimonio finalmente!	partially -				
			Sono euforica che volete stare insieme sempre e che i genitori annunceranno il matrimonio finalmente!	partially -				
			Sono euforica che volete stare insieme sempre e che i genitori annunciate il matrimonio finalmente!	partially -				
			Sono euforica che volete stare insieme sempre!	divergent				
G_Wo	Invece , l' inglese , che lo aveva usato prima moltissimo quando lavorava , solo l' uso quando stiamo con gli amici stranieri che non parlano italiano .	wrong	Invece, l'inglese, che lo aveva usato molto prima quando lavorava, solo l'uso quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato moltissimo prima quando lavorava, l'uso solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, l'uso solo quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato moltissimo prima quando lavorava, solo l'uso quando stiamo con gli amici stranieri che non parlano italiano .	divergent				
			Invece, l'inglese, che lo aveva usato molto prima quando lavorava, solo l'uso quando stiamo con gli amici stranieri .	divergent				
G_Wo	Sono apena arrivato da Città Y qui ho fatto due settimane di vacanza .	grammatical	Sono appena arrivato a Città Y. Qui ho fatto due settimane di vacanza.	divergent				
			Sono appena arrivato da Città Y. Ho fatto due settimane di vacanza qui.	fully				
			Sono appena arrivato da Città Y. Qui ho fatto una breve pausa di due settimane.	divergent				
			Sono appena arrivato a Città Y. Fino a qui sono state due settimane di vacanza.	divergent				
			Sono appena arrivato a Città Y. Ho fatto due settimane di vacanza.	divergent				
G_Wo	"Sono sicuro che loro aspettano molto """""""" il giorno grande """""""" ."	plausible	Sono sicuro che loro aspettano molto il giorno grande.	divergent				
			Sono sicuro che loro aspettano il giorno grande molto.	divergent				
			Sono certo che loro aspettano molto il giorno grande.	divergent				
			Sono sicuro di loro aspettativa di un giorno grande molto.	divergent				
			Sono sicuro che aspettano molto il giorno grande.	divergent				
G_Wo	In attesa di una risposta buona porgo i miei cordiali saluti .	grammatical	In attesa di una buona risposta porgo i miei cordiali saluti .	fully				
			In attesa di una risposta porgo i miei saluti .	divergent				
			In attesa di una risposta buone porgo i miei cordiali saluti .	divergent				
			In attesa di una risposta porgo i miei saluti cordiali .	fully				
			In attesa di una risposta buona porgo i saluti .	divergent				
G_Wo	Gabriella , io sono Maria Rossi in Ungheria , vivo a Città X .	wrong	Gabriella, io sono Maria Rossi in Ungheria, vivo a Città X.	no modification				
			Gabriella, io sono Maria Rossi in Ungheria, vivero a Città X.	divergent				
			Gabriella, io sono Maria Rossi in Ungheria, vivo in Città X.	divergent				
			Gabriella, io sono Maria Rossi in Ungheria, vivo a Citta' X.	divergent				
			Gabriella, io sono Maria Rossi in Ungheria, vivo a Città X.	no modification				
G_Wo	Andiamo a cena al ristorante tailandese insieme ?	grammatical	Andiamo a cena al ristorante tailandese insieme!	divergent				
			Andiamo a cena al ristorante tailandese!	divergent				
			Andiamo a mangiare al ristorante tailandese insieme?	divergent				
			Andiamo a pranzo al ristorante tailandese insieme?	divergent				
			Andiamo al ristorante tailandese insieme?	divergent				
G_Wo	La settimana scorsa hanno comminciato cinque nuove persone !	grammatical	La settimana scorsa hanno cominciato cinque nuove persone !	fully				
			La settimana scorsa sono commesse cinque nuove persone !	divergent				
			La settimana scorsa cinque persone si sono commesse !	divergent				
			La settimana scorsa cinque nuove persone hanno cominciato !	fully				
			La settimana scorsa cinque nuove persone hanno iniziato !	divergent				
G_Wo	Vogliamo qui andare a cena sabato sera ?	wrong	Vogliamo andare a cena sabato sera ?	fully				
			Vogliamo qui a cena sabato sera ?	divergent				
			Vogliamo qui andare sabato sera ?	divergent				
			Vogliamo qui andare a sera ?	divergent				
G_Wo	Benché io abbia tanto da fare al lavoro , non vorrei evitare d' essere parte della festa grande .	plausible	Benché io abbia tanto da fare al lavoro, non vorrei evitare di essere parte della festa grande.	divergent				
			Benché io abbia tanto da fare al lavoro, non vorrei evitare di essere parte della grande festa.	fully				
			Benché io abbia tanto da fare al lavoro, non vorrei evitare d' essere parte della festa.	divergent				
			Benché io abbia tanto da fare al lavoro, non vorrei evitare d' essere parte della grande festa.	fully				
			Benché io abbia tanto da fare al lavoro, non vorrei evitare di essere parte della festa grande.	divergent				
G_Wo	Veramente spero che , con l' impegno messo ad imparare bene l' italiano , adesso sia il momento per me di poter trovare un bel' lavoro .	wrong	Veramente spero che, con l'impegno messo ad imparare bene l'italiano, adesso sia il momento per me di poter trovare un bel lavoro .	divergent				
			Veramente spero che, con l'impegno messo a imparare bene l'italiano, adesso sia il momento per me di poter trovare un bel lavoro .	divergent				
			Veramente spero che, con l'impegno messo ad imparare bene italiano, adesso sia il momento per me di poter trovare un bel lavoro .	divergent				
			Veramente spero che, con l'impegno messo a imparare bene italiano, adesso sia il momento per me di poter trovare un bel lavoro .	divergent				
			Veramente spero che con l'impegno messo ad imparare bene l'italiano adesso sia il momento per me di poter trovare un bel lavoro .	divergent				
